Serial,#,Date,LTP,%Change,High,Low,Open,Qty.,
177,124,1/2/2017,246,-1.6,255,246,255,"9,057",
178,123,1/3/2017,255,3.66,255,242,242,"7,007",
179,122,1/4/2017,252,-1.18,255,248,250,"3,661",
180,121,1/5/2017,250,-0.79,250,248,248,"2,129",
181,120,1/8/2017,250,0,250,245,246,"3,126",
182,119,1/9/2017,252,0.8,252,248,250,336,
183,118,1/10/2017,255,1.19,255,250,252,"1,154",
184,117,1/11/2017,249,-2.35,259,247,259,"4,037",
185,116,1/12/2017,253,1.61,255,249,250,"6,482",
186,115,1/15/2017,247,-2.37,252,247,252,"2,709",
187,114,1/16/2017,245,-0.81,249,243,243,"4,183",
188,113,1/17/2017,247,0.82,247,244,245,"2,049",
189,112,1/18/2017,247,-0.81,247,244,244,491,
190,111,1/19/2017,245,0,248,244,245,"3,921",
191,110,1/22/2017,251,2.45,251,243,244,"4,038",
192,109,1/23/2017,247,-1.59,250,246,246,"9,685",
193,108,1/24/2017,247,0,250,245,245,"7,167",
194,107,1/25/2017,241,-2.43,245,240,243,"3,320",
195,106,1/26/2017,233,-3.32,237,226,237,"7,702",
196,105,1/30/2017,214,-8.15,229,210,229,"5,775",
197,104,1/31/2017,223,4.21,223,206,210,"2,518",
198,103,2/1/2017,236,5.83,243,227,227,"2,764",
199,102,2/2/2017,230,-2.54,244,230,240,"18,329",
200,101,2/5/2017,224,-2.61,234,223,230,"3,768",
201,100,2/6/2017,228,1.79,228,219,220,957,
202,99,2/7/2017,221,-3.07,225,220,224,"11,067",
203,98,2/8/2017,218,-1.36,221,218,221,"4,713",
204,97,2/9/2017,212,-2.75,220,212,220,"7,226",
205,96,2/12/2017,205,-3.3,212,205,209,"5,197",
206,95,2/13/2017,220,7.32,220,201,208,"3,448",
207,94,2/14/2017,216,-1.82,216,200,216,"5,516",
208,93,2/15/2017,219,1.39,220,209,220,"5,154",
209,92,2/16/2017,220,0.46,223,215,223,"2,683",
210,91,2/19/2017,222,0.91,222,216,216,"6,166",
211,90,2/20/2017,218,-3.15,230,215,222,"5,449",
212,89,2/21/2017,212,-1.4,219,212,219,"3,733",
213,88,2/22/2017,208,-1.89,212,204,208,"2,484",
214,87,2/23/2017,209,0.48,216,208,208,"3,577",
215,86,2/26/2017,207,-0.96,208,205,206,"1,269",
216,85,2/28/2017,208,0.48,210,206,210,"1,662",
217,84,3/1/2017,213,2.4,213,205,206,"3,317",
218,83,3/2/2017,214,0.47,214,207,211,"2,681",
219,82,3/7/2017,210,-2.33,215,206,215,"3,347",
220,81,3/9/2017,221,5.71,222,210,210,"4,040",
221,80,3/13/2017,228,2.7,229,219,219,"11,867",
222,79,3/14/2017,222,-2.63,226,219,224,"6,406",
223,78,3/15/2017,230,3.6,237,216,218,"11,463",
224,77,3/16/2017,227,-1.3,231,222,231,"3,869",
225,76,3/19/2017,229,0.88,235,224,227,"6,260",
226,75,3/20/2017,232,1.31,237,229,230,"9,785",
227,74,3/21/2017,240,3.45,240,227,236,"4,241",
228,73,3/22/2017,242,0.83,262,237,244,"28,299",
229,72,3/23/2017,260,8.68,264,234,246,"28,717",
230,71,3/26/2017,278,5.7,289,255,268,"42,623",
231,70,3/28/2017,288,3.6,298,273,278,"5,931",
232,69,3/29/2017,271,-4.86,293,266,288,"22,957",
233,68,3/30/2017,270,-0.37,279,266,271,"9,588",
234,67,4/2/2017,275,1.85,288,270,275,"6,514",
235,66,4/3/2017,275,0,295,275,280,"19,680",
236,65,4/4/2017,276,0.36,276,265,272,"16,352",
237,64,4/6/2017,273,-1.09,275,267,276,"8,798",
238,63,4/9/2017,288,6.23,290,271,273,"18,557",
239,62,4/10/2017,300,3.45,304,286,286,"39,707",
240,61,4/11/2017,301,0.33,316,296,306,"20,961",
241,60,4/12/2017,295,-1.99,306,295,300,"22,956",
242,59,4/13/2017,287,-2.71,293,283,290,"4,349",
243,58,4/16/2017,280,-2.44,292,273,292,"14,739",
244,57,4/18/2017,279,-0.36,287,270,285,"7,247",
245,56,4/19/2017,284,1.79,284,272,279,"8,409",
246,55,4/20/2017,291,2.46,291,275,279,"4,211",
247,54,4/23/2017,290,-0.34,304,286,291,"16,099",
248,53,4/24/2017,287,-1.03,293,280,285,"18,004",
249,52,4/25/2017,283,-1.39,286,278,286,"10,975",
250,51,4/26/2017,292,3.18,293,279,280,"12,747",
251,50,4/27/2017,290,-0.68,297,279,288,"37,296",
252,49,4/30/2017,290,0,295,276,285,"14,105",
253,48,5/2/2017,275,-5.17,290,275,285,"14,592",
254,47,5/3/2017,282,2.54,285,278,280,"3,195",
255,46,5/4/2017,277,-1.77,280,276,278,"3,005",
256,45,5/7/2017,270,-2.53,279,266,277,"1,957",
257,44,5/8/2017,276,1.85,286,265,266,"8,621",
258,43,5/9/2017,285,3.64,294,270,275,"19,785",
259,42,5/11/2017,304,8.07,310,288,290,"92,535",
260,41,5/15/2017,302,-1.95,318,294,312,"78,557",
261,40,5/16/2017,306,1.32,306,296,302,"16,506",
262,39,5/17/2017,303,-0.98,305,297,300,"11,239",
263,38,5/18/2017,299,-1.32,300,293,303,"11,537",
264,37,5/21/2017,289,-3.34,294,287,294,"17,037",
265,36,5/22/2017,286,-1.04,299,286,290,"4,678",
266,35,5/23/2017,287,0.35,301,285,291,"6,478",
267,34,5/24/2017,285,-0.7,296,283,287,"10,074",
268,33,5/28/2017,282,-1.05,288,281,285,"4,553",
269,32,5/30/2017,280,-0.71,282,275,279,"7,659",
270,31,5/31/2017,290,3.57,290,276,280,"6,640",
271,30,6/1/2017,280,-3.45,289,279,285,"7,130",
272,29,6/4/2017,276,-1.43,280,275,275,"8,708",
273,28,6/5/2017,280,1.45,280,277,279,"13,395",
274,27,6/6/2017,282,0.71,287,277,285,"5,469",
275,26,6/7/2017,278,-1.42,287,277,287,"3,225",
276,25,6/8/2017,275,-1.08,277,274,275,"8,514",
277,24,6/11/2017,270,-0.36,276,270,275,"4,800",
278,23,6/12/2017,265,-3.65,276,264,269,"5,020",
279,22,6/13/2017,270,2.27,273,264,264,"1,890",
280,21,6/14/2017,284,5.19,284,266,270,"2,319",
281,20,6/15/2017,280,-1.41,283,275,280,"1,132",
282,19,6/18/2017,270,-3.57,275,270,280,109,
283,18,6/19/2017,270,0,275,265,265,"2,637",
284,17,6/20/2017,267,-1.11,270,260,265,"4,312",
285,16,6/21/2017,267,-0.75,270,265,267,854,
286,15,6/22/2017,265,0,272,261,265,"8,865",
287,14,6/25/2017,267,0.75,267,260,260,"5,824",
288,13,6/27/2017,268,0.37,268,262,262,"4,715",
289,12,6/28/2017,268,0,268,262,265,"2,666",
290,11,7/2/2017,263,-1.87,265,258,263,"3,841",
291,10,7/3/2017,270,2.66,270,262,263,"4,820",
292,9,7/4/2017,263,-2.59,267,260,265,"15,104",
293,8,7/5/2017,270,2.66,270,258,260,"3,728",
294,7,7/6/2017,290,7.41,290,268,269,"5,233",
295,6,7/9/2017,287,-1.03,300,270,290,"93,320",
296,5,7/10/2017,280,-2.44,292,280,292,"15,172",
297,4,7/11/2017,281,0.36,289,280,280,"6,088",
298,3,7/12/2017,278,-1.07,285,276,280,"3,725",
299,2,7/13/2017,276,-0.72,280,276,276,"7,140",
300,1,7/16/2017,276,0,281,271,271,"2,554",
